donor_name,structure,folderName,fastqName,bamName,sample,specimen_name
H14.09.015,FWM,H14.09.015.PCx.01_FWM,RS5-501059,ar_496100346,H501-1059,H14.09.015.PCx.01
H14.09.015,PCx,H14.09.015.PCx.01_PCx,RS5-501060,ar_496100335,H501-1060,H14.09.015.PCx.01
H14.09.015,TCx,H14.09.015.TCx.01_TCx,RS5-501061,ar_496100326,H501-1061,H14.09.015.TCx.01
H14.09.016,FWM,H14.09.016.PCx.01_FWM,RS5-501062,ar_496100317,H501-1062,H14.09.016.PCx.01
H14.09.016,PCx,H14.09.016.PCx.01_PCx,RS5-501063,ar_496100342,H501-1063,H14.09.016.PCx.01
H14.09.016,TCx,H14.09.016.TCx.01_TCx,RS5-501064,ar_496100341,H501-1064,H14.09.016.TCx.01
H14.09.017,HIP,H14.09.017.HIP.01_HIP,RS5-501065,ar_496100339,H501-1065,H14.09.017.HIP.01
H14.09.017,FWM,H14.09.017.PCx.01_FWM,RS5-501066,ar_496100324,H501-1066,H14.09.017.PCx.01
H14.09.017,PCx,H14.09.017.PCx.01_PCx,RS5-501067,ar_496100320,H501-1067,H14.09.017.PCx.01
H14.09.017,TCx,H14.09.017.TCx.01_TCx,RS5-501068,ar_496100316,H501-1068,H14.09.017.TCx.01
H14.09.018,HIP,H14.09.018.HIP.01_HIP,RS5-501069,ar_496100338,H501-1069,H14.09.018.HIP.01
H14.09.018,FWM,H14.09.018.PCx.01_FWM,RS5-501070,ar_496100333,H501-1070,H14.09.018.PCx.01
H14.09.018,PCx,H14.09.018.PCx.01_PCx,RS5-501071,ar_496100334,H501-1071,H14.09.018.PCx.01
H14.09.018,TCx,H14.09.018.TCx.01_TCx,RS5-501072,ar_496100348,H501-1072,H14.09.018.TCx.01
H14.09.019,HIP,H14.09.019.HIP.01_HIP,RS5-501073,ar_496100358,H501-1073,H14.09.019.HIP.01
H14.09.019,FWM,H14.09.019.PCx.01_FWM,RS5-501074,ar_496100351,H501-1074,H14.09.019.PCx.01
H14.09.019,PCx,H14.09.019.PCx.01_PCx,RS5-501075,ar_496100369,H501-1075,H14.09.019.PCx.01
H14.09.019,TCx,H14.09.019.TCx.01_TCx,RS5-501076,ar_496100363,H501-1076,H14.09.019.TCx.01
H14.09.020,HIP,H14.09.020.HIP.01_HIP,RS5-501077,ar_496100383,H501-1077,H14.09.020.HIP.01
H14.09.020,FWM,H14.09.020.PCx.01_FWM,RS5-501078,ar_496100350,H501-1078,H14.09.020.PCx.01
H14.09.020,PCx,H14.09.020.PCx.01_PCx,RS5-501079,ar_496100377,H501-1079,H14.09.020.PCx.01
H14.09.020,TCx,H14.09.020.TCx.01_TCx,RS5-501080,ar_496100357,H501-1080,H14.09.020.TCx.01
H14.09.021,FWM,H14.09.021.PCx.01_FWM,RS5-501081,ar_496100376,H501-1081,H14.09.021.PCx.01
H14.09.021,PCx,H14.09.021.PCx.01_PCx,RS5-501082,ar_496100370,H501-1082,H14.09.021.PCx.01
H14.09.021,TCx,H14.09.021.TCx.01_TCx,RS5-501083,ar_496100378,H501-1083,H14.09.021.TCx.01
H14.09.022,FWM,H14.09.022.PCx.01_FWM,RS5-501084,ar_496100360,H501-1084,H14.09.022.PCx.01
H14.09.022,PCx,H14.09.022.PCx.01_PCx,RS5-501085,ar_496100368,H501-1085,H14.09.022.PCx.01
H14.09.022,TCx,H14.09.022.TCx.01_TCx,RS5-501086,ar_496100379,H501-1086,H14.09.022.TCx.01
H14.09.023,HIP,H14.09.023.HIP.01_HIP,RS5-501087,ar_496100353,H501-1087,H14.09.023.HIP.01
H14.09.023,FWM,H14.09.023.PCx.01_FWM,RS5-501088,ar_496100367,H501-1088,H14.09.023.PCx.01
H14.09.023,PCx,H14.09.023.PCx.01_PCx,RS5-501089,ar_496100382,H501-1089,H14.09.023.PCx.01
H14.09.023,TCx,H14.09.023.TCx.01_TCx,RS5-501090,ar_496100371,H501-1090,H14.09.023.TCx.01
H14.09.024,HIP,H14.09.024.HIP.01_HIP,RS5-501091,ar_496100349,H501-1091,H14.09.024.HIP.01
